,id,synset1,depth1,sentence1,synset2,depth2,sentence2,specific
4542,4543,Synset('commission.n.04'),7,put the ships into commission,Synset('action.n.02'),5,his sphere of activity,0
4543,4544,Synset('subtraction.n.02'),10,he complained about the subtraction of money from their paychecks,Synset('bite.n.09'),11,the government's weekly bite from my paycheck,1
4544,4545,Synset('assurance.n.03'),6,the President's assurances were not respected,Synset('clean_bill_of_health.n.01'),7,the doctor gave him a clean bill of health,1
4545,4546,Synset('call.n.11'),10,the pastor's calls on his parishioners,Synset('round.n.04'),11,the doctor goes on his rounds first thing every morning,1
4546,4547,Synset('induction.n.05'),11,the induction of an anesthetic state,Synset('introduction.n.01'),10,they looked forward to the debut of their new product line,0
4547,4548,Synset('leadership.n.01'),7,his leadership inspired the team,Synset('helm.n.02'),8,the President is at the helm of the Ship of State,1
4548,4549,Synset('swallow.n.01'),7,a sup of ale,Synset('taste.n.05'),6,take a taste--you'll like it,0
4549,4550,Synset('area.n.02'),7,it was his area of specialization,Synset('topic.n.02'),6,he kept drifting off the topic,0
4550,4551,Synset('aspect.n.01'),10,he studied every facet of the question,Synset('side.n.06'),11,he was on the heavy side,1
4551,4552,Synset('shock.n.06'),8,it came as a shock to learn that he was injured,Synset('blip.n.01'),9,the market had one bad blip today,1
4552,4553,Synset('value.n.03'),4,he tried to estimate the value of the produce at normal prices,Synset('mess_of_pottage.n.01'),5,Esau sold his birthright to Jacob for a mess of pottage,1
4553,4554,Synset('marketing.n.03'),11,does the weekly marketing at the supermarket,Synset('buying.n.01'),9,buying and selling fill their days,0
4554,4555,Synset('capacity.n.05'),10,he was employed in the capacity of director,Synset('function.n.03'),9,the function of a teacher,0
4555,4556,Synset('print.n.01'),5,I want to see it in print,Synset('small_print.n.02'),6,he needed his glasses in order to read the fine print,1
4556,4557,Synset('exaction.n.01'),8,exaction of tribute,Synset('demand.n.04'),7,the kidnapper's exorbitant demands for money,0
4557,4558,Synset('mortal_sin.n.01'),10,theologians list seven mortal sins,Synset('superiority.n.03'),13,he hated the white man's superiority and condescension,1
4558,4559,Synset('improvement.n.02'),9,their improvements increased the value of the property,Synset('cleaning.n.01'),10,he gave his shoes a good cleaning,1
4559,4560,Synset('preference.n.01'),7,my own preference is for good literature,Synset('acquired_taste.n.01'),8,martinis are an acquired taste,1
4560,4561,Synset('hex.n.01'),7,a witch put a curse on his whole family,Synset('spell.n.04'),6,he whispered a spell as he moved his hands,0
4561,4562,Synset('hands.n.01'),10,my fate is in your hands,Synset('guardianship.n.02'),9,he left his car in my keeping,0
4562,4563,Synset('demon.n.03'),9,he worked like a demon to finish the job on time,Synset('actor.n.02'),8,he's a principal actor in this affair,0
4563,4564,Synset('coldness.n.03'),7,the coldness made our breath visible,Synset('cool.n.01'),8,the cool of early morning,1
4564,4565,Synset('contretemps.n.01'),10,he tried to smooth over his contretemps with the policeman,Synset('fight.n.02'),8,a fight broke out at the hockey game,0
4565,4566,Synset('narration.n.02'),9,his narration was hesitant,Synset('relation.n.04'),10,he was the hero according to his own relation,1
4566,4567,Synset('crisis.n.01'),8,they went bankrupt during the economic crisis,Synset('juncture.n.02'),9,at that juncture he had no idea what to do,1
4567,4568,Synset('inclination.n.05'),7,her inclination is for classical music,Synset('undertow.n.01'),8,his account had a poignant undertow of regret,1
4568,4569,Synset('grapevine.n.01'),10,the news of their affair was spread by word of mouth,Synset('gossip.n.02'),9,the divorce caused much gossip,0
4569,4570,Synset('foreboding.n.01'),9,a steadily escalating sense of foreboding,Synset('shadow.n.04'),10,a shadow over his happiness,1
4570,4571,Synset('playing_period.n.01'),4,rain stopped play in the 4th inning,Synset('set.n.08'),5,they played two sets of tennis after dinner,1
4571,4572,Synset('benefit.n.02'),6,for the benefit of all,Synset('sake.n.01'),7,for your sake,1
4572,4573,Synset('dead.n.02'),7,the dead of winter,Synset('time.n.03'),6,he waited a long time,0
4573,4574,Synset('boldness.n.02'),7,I couldn't believe her boldness,Synset('audacity.n.02'),8,he had the audacity to question my decision,1
4574,4575,Synset('tenor.n.04'),8,nothing disturbed the even tenor of her ways,Synset('direction.n.03'),7,I couldn't follow the direction of his thoughts,0
4575,4576,Synset('thing.n.05'),6,a funny thing happened on the way to the...,Synset('feast.n.02'),7,a feast for the eyes,1
4576,4577,Synset('animation.n.01'),6,while there's life there's hope,Synset('subsistence.n.02'),8,farming is a hard means of subsistence,1
4577,4578,Synset('sequence.n.02'),7,the doctor saw a sequence of patients,Synset('row.n.06'),8,they won the championship three years in a row,1
4578,4579,Synset('understanding.n.01'),8,he has virtually no understanding of social cause and effect,Synset('realization.n.01'),9,a growing realization of the risk involved,1
4579,4580,Synset('solicitation.n.01'),9,a solicitation to the king for relief,Synset('importunity.n.01'),10,his importunity left me no alternative but to agree,1
4580,4581,Synset('sweetness_and_light.n.01'),9,when he learned who I was he became all sweetness and light,Synset('nature.n.04'),5,it is his nature to help others,0
4581,4582,Synset('ear.n.02'),11,he had a keen ear,Synset('hearing.n.06'),10,his hearing was impaired,0
4582,4583,Synset('stuff.n.02'),4,the trunk was full of stuff,Synset('doodad.n.01'),5,she eased the ball-shaped doodad back into its socket,1
4583,4584,Synset('drive.n.08'),11,he took the family for a drive in his new car,Synset('joyride.n.01'),12,they took their girlfriends for joyrides in stolen cars,1
4584,4585,Synset('currentness.n.01'),9,the currency of a slang term,Synset('presentness.n.01'),8,a study of the pastness of the present and...of the presentness of the past,0
4585,4586,Synset('factor.n.01'),9,a number of factors determined the outcome,Synset('wild_card.n.01'),10,the weather was a wild card,1
4586,4587,Synset('success.n.01'),6,let's call heads a success and tails a failure,Synset('last_laugh.n.01'),8,we had the last laugh after the votes were counted,1
4587,4588,Synset('committedness.n.01'),6,a man of energy and commitment,Synset('seriousness.n.03'),5,a lack of solemnity is not necessarily a lack of seriousness,0
4588,4589,Synset('repositing.n.01'),13,they decided to reposition their furniture in a recommended repository in Brooklyn,Synset('stockpiling.n.01'),14,the stockpiling of war materials,1
4589,4590,Synset('situation.n.01'),5,the present international situation is dangerous,Synset('lap_of_the_gods.n.01'),9,there is nothing more I can do; it's in the lap of the gods now,1
4590,4591,Synset('hunter.n.02'),9,a treasure hunter,Synset('seeker.n.01'),8,they are seekers after truth,0
4591,4592,Synset('conscience.n.02'),6,a person of unflagging conscience,Synset('religiousness.n.02'),8,his care in observing the rules of good health amounted to a kind of religiousness,1
4592,4593,Synset('thing.n.04'),6,how does this thing work?,Synset('snorter.n.03'),7,a snorter of a sermon,1
4593,4594,Synset('action.n.02'),5,his sphere of activity,Synset('operation.n.01'),6,that rule is no longer in operation,1
4594,4595,Synset('check.n.06'),11,they made a check of their equipment,Synset('spot_check.n.01'),12,spot checks ensure a high level of performance by employees,1
4595,4596,Synset('asperity.n.01'),6,the asperity of northern winters,Synset('sternness.n.01'),7,the sternness of his surroundings made him uncomfortable,1
4596,4597,Synset('confusion.n.02'),8,a confusion of impressions,Synset('distraction.n.01'),9,he drives me to distraction,1
4597,4598,Synset('endorsement.n.05'),9,a star athlete can make a lot of money from endorsements,Synset('auspices.n.01'),10,the tournament was held under the auspices of the city council,1
4598,4599,Synset('details.n.01'),6,after the trial he gave us the real details,Synset('dope.n.04'),7,is that the straight dope?,1
4599,4600,Synset('status.n.01'),5,he had the status of a minor,Synset('limelight.n.01'),8,he enjoyed being in the limelight,1
4600,4601,Synset('regard.n.06'),7,she mistook his manly regard for love,Synset('affection.n.01'),6,he had trouble expressing the affection he felt,0
4601,4602,Synset('nest.n.04'),8,a nest of thieves,Synset('sleeper_nest.n.01'),9,sleeper nests of Islamic terrorists were capable of launching major attacks in Europe,1
4602,4603,Synset('superlative.n.01'),7,the critics lavished superlatives on it,Synset('praise.n.01'),6,he always appreciated praise for his work,0
4603,4604,Synset('succession.n.02'),7,a succession of stalls offering soft drinks,Synset('cascade.n.02'),8,progressing in severity as though a cascade of genetic damage was occurring,1
4604,4605,Synset('eligibility.n.01'),8,eligibility of a candidate for office,Synset('qualification.n.01'),7,her qualifications for the job are excellent,0
4605,4606,Synset('days.n.01'),7,the monarch's last days,Synset('life.n.07'),6,he appointed himself emperor for life,0
4606,4607,Synset('spot.n.13'),10,an eight-spot,Synset('card.n.01'),8,he collected cards and traded them with the other boys,0
4607,4608,Synset('conditions.n.01'),8,there were wide variations in the conditions of observation,Synset('context.n.02'),7,the historical context,0
4608,4609,Synset('toe_box.n.01'),13,the toe box may be rounded or pointed,Synset('upper.n.02'),12,Uppers come in many styles,0
4609,4610,Synset('fad.n.01'),11,he always follows the latest fads,Synset('taste.n.03'),8,arrogance and lack of taste contributed to his rapid success,0
4610,4611,Synset('slapper.n.01'),11,someone slapped me on the back and I turned to see who the slapper was,Synset('hitter.n.02'),10,a hard hitter,0
4611,4612,Synset('inclination.n.05'),7,her inclination is for classical music,Synset('leaning.n.01'),8,he felt leanings toward frivolity,1
4612,4613,Synset('loss.n.06'),7,the company operated at a loss last year,Synset('squeeze.n.03'),8,increased expenses put a squeeze on profits,1
4613,4614,Synset('wee.n.01'),7,bide a wee,Synset('time.n.03'),6,he waited a long time,0
4614,4615,Synset('infernal.n.01'),9,his roar made the infernals quake,Synset('dead_person.n.01'),8,I wonder what the dead person would have done,0
4615,4616,Synset('approach.n.02'),9,the hunter's approach scattered the geese,Synset('back_door.n.01'),11,he got his job through the back door,1
4616,4617,Synset('dissatisfaction.n.01'),9,he was never slow to express his dissatisfaction with the service he received,Synset('fatigue.n.03'),11,he was suffering from museum fatigue,1
4617,4618,Synset('embellishment.n.01'),9,the mystery has been heightened by many embellishments in subsequent retellings,Synset('discussion.n.01'),7,the book contains an excellent discussion of modal logic,0
4618,4619,Synset('committedness.n.01'),6,a man of energy and commitment,Synset('seriousness.n.03'),5,a lack of solemnity is not necessarily a lack of seriousness,0
4619,4620,Synset('adversity.n.01'),8,debt-ridden farmers struggling with adversity,Synset('throe.n.02'),10,a country in the throes of economic collapse,1
4620,4621,Synset('hostility.n.01'),8,he could not conceal his hostility,Synset('virulence.n.02'),9,the virulence of the malicious old man,1
4621,4622,Synset('sake.n.01'),7,for your sake,Synset('behalf.n.02'),8,in your behalf,1
4622,4623,Synset('menace.n.02'),8,he spoke with desperate menace,Synset('threat.n.03'),7,his threat to kill me was quite explicit,0
4623,4624,Synset('handwriting.n.01'),6,she recognized his handwriting,Synset('squiggle.n.02'),8,his signature was just a squiggle but only he could make that squiggle,1
4624,4625,Synset('closeness.n.01'),8,their closeness grew as the night wore on,Synset('togetherness.n.01'),9,togetherness is the new wonder ingredient in marriage,1
4625,4626,Synset('flare.n.08'),8,she felt a flare of delight,Synset('expression.n.02'),6,tears are an expression of grief,0
4626,4627,Synset('common_sense.n.01'),9,Common sense is not so common,Synset('nous.n.01'),10,she has great social nous,1
4627,4628,Synset('mismanagement.n.01'),9,he accomplished little due to the mismanagement of his energies,Synset('screwup.n.01'),10,a typical bureaucratic screwup,1
4628,4629,Synset('version.n.01'),8,his version of the fight was different from mine,Synset('approximation.n.03'),9,newspapers gave only an approximation of the actual events,1
4629,4630,Synset('gasp.n.01'),8,she gave a gasp and fainted,Synset('breath.n.01'),6,he took a deep breath and dived into the pool,0
4630,4631,Synset('nook_and_cranny.n.01'),8,he explored every nook and cranny of science,Synset('detail.n.01'),7,several of the details are similar,0
4631,4632,Synset('restraint.n.01'),8,the unlawful restraint of trade,Synset('custody.n.02'),11,the suspect is in custody,1
4632,4633,Synset('urgency.n.02'),8,the urgency of his need,Synset('edge.n.04'),9,his voice had an edge to it,1
4633,4634,Synset('thing.n.04'),6,how does this thing work?,Synset('snorter.n.03'),7,a snorter of a sermon,1
4634,4635,Synset('terrace.n.03'),8,Grosvenor Terrace,Synset('line.n.01'),6,the line of soldiers advanced with their bayonets fixed,0
4635,4636,Synset('click.n.04'),9,a click on the right button for example,Synset('depression.n.10'),8,depression of the space bar on the typewriter,0
4636,4637,Synset('spectacular.n.01'),8,they put on a Christmas spectacular,Synset('performance.n.01'),7,they listened to ten different performances,0
4637,4638,Synset('fact.n.01'),6,first you must collect all the facts of the case,Synset('indication.n.03'),8,the presence of bacterial infection was an indication for the use of antibiotics,1
4638,4639,Synset('spark.n.04'),7,a spark of interest,Synset('trace.n.01'),6,he speaks French with a trace of an accent,0
4639,4640,Synset('preliminary_prospectus.n.01'),13,because some portions of the cover page are printed in red ink a preliminary prospectus is sometimes called a red herring,Synset('catalog.n.01'),11,he found it in the Sears catalog,0
4640,4641,Synset('bye.n.01'),10,he had a bye in the first round,Synset('assent.n.01'),8,he gave his assent eagerly,0
4641,4642,Synset('repositing.n.01'),13,they decided to reposition their furniture in a recommended repository in Brooklyn,Synset('buildup.n.01'),11,I envied his rapid buildup of assets,0
4642,4643,Synset('bargain.n.02'),8,she got a bargain at the auction,Synset('song.n.05'),9,he bought it for a song,1
4643,4644,Synset('boards.n.01'),11,most actors love to stride the boards,Synset('stage.n.03'),9,he clambered up onto the stage and got the actors to help him into the box,0
4644,4645,Synset('business.n.01'),7,he bought his brother's business,Synset('metro.n.01'),11,in Paris the subway system is called the `metro' and in London it is called the `tube' or the `underground',1
4645,4646,Synset('esteem.n.01'),8,it is held in esteem,Synset('stature.n.01'),9,a man of great stature,1
4646,4647,Synset('award.n.02'),6,an award for bravery,Synset('letter.n.05'),7,he won letters in three sports,1
4647,4648,Synset('gang.n.01'),7,police tried to break up the gang,Synset('sleeper_nest.n.01'),9,sleeper nests of Islamic terrorists were capable of launching major attacks in Europe,1
4648,4649,Synset('flush.n.06'),9,he heard the flush of a toilet,Synset('springtide.n.01'),10,he rose on the springtide of prosperity,1
4649,4650,Synset('reputation.n.02'),11,his reputation for promiscuity,Synset('dishonor.n.01'),7,he was resigned to a life of dishonor,0
4650,4651,Synset('contact.n.01'),8,they kept in daily contact,Synset('placement.n.02'),9,the agency provided placement services,1
4651,4652,Synset('position.n.03'),7,consider what follows from the positivist view,Synset('paradigm.n.04'),8,he framed the problem within the psychoanalytic paradigm,1
4652,4653,Synset('hostility.n.01'),8,he could not conceal his hostility,Synset('virulence.n.02'),9,the virulence of the malicious old man,1
4653,4654,Synset('shortness.n.01'),8,the shortness of the Channel crossing,Synset('length.n.01'),7,the length of the table was 5 feet,0
4654,4655,Synset('screen.n.04'),7,a screen of trees afforded privacy,Synset('blind.n.02'),8,he waited impatiently in the blind,1
4655,4656,Synset('yips.n.01'),10,to avoid the yips he changed his style of putting,Synset('strain.n.04'),8,his responsibilities were a constant strain,0
4656,4657,Synset('behalf.n.02'),8,in your behalf,Synset('sake.n.01'),7,for your sake,0
4657,4658,Synset('qualification.n.01'),7,her qualifications for the job are excellent,Synset('eligibility.n.01'),8,eligibility of a candidate for office,1
4658,4659,Synset('truth.n.03'),6,he told the truth,Synset('tautology.n.01'),7,the statement `he is brave or he is not brave' is a tautology,1
4659,4660,Synset('blade.n.03'),5,a blade of lint on his suit,Synset('ribbon.n.01'),4,a mere ribbon of land,0
4660,4661,Synset('moralizing.n.01'),10,his constant moralizing drove me mad,Synset('interpretation.n.03'),7,the report included his interpretation of the forensic evidence,0
4661,4662,Synset('shade.n.02'),7,after several trials he mixed the shade of pink that she wanted,Synset('mellowness.n.04'),8,a mellowness of light and shade not attainable in marble,1
4662,4663,Synset('space.n.07'),8,write your name in the space provided,Synset('margin.n.05'),9,he jotted a note in the margin,1
4663,4664,Synset('expedition.n.02'),8,an expedition was sent to explore Mars,Synset('working_group.n.01'),7,the working group was supposed to report back in two weeks,0
4664,4665,Synset('toe_box.n.01'),13,the toe box may be rounded or pointed,Synset('upper.n.02'),12,Uppers come in many styles,0
4665,4666,Synset('behalf.n.01'),11,on behalf of,Synset('stead.n.01'),10,can you go in my stead?,0
4666,4667,Synset('acceptance.n.03'),6,torn jeans received no acceptance at the country club,Synset('approval.n.03'),7,he bought it on approval,1
4667,4668,Synset('cyborg.n.01'),9,a cyborg is a cybernetic organism,Synset('machine.n.02'),8,the boxer was a magnificent fighting machine,0
4668,4669,Synset('evasion.n.03'),8,his evasion of his clear duty was reprehensible,Synset('malingering.n.01'),9,they developed a test to detect malingering,1
4669,4670,Synset('art.n.02'),8,art does not need to be innovative to be good,Synset('drawing.n.03'),9,he learned drawing from his father,1
4670,4671,Synset('breadth.n.01'),7,a teacher must have a breadth of knowledge of the subject,Synset('capaciousness.n.01'),8,the very capaciousness of the idea meant that agreement on fundamentals was unnecessary,1
4671,4672,Synset('modernity.n.01'),10,a shopping mall would instill a spirit of modernity into this village,Synset('presentness.n.01'),8,a study of the pastness of the present and...of the presentness of the past,0
4672,4673,Synset('hoodoo.n.01'),6,a tall sandstone hoodoo,Synset('column.n.04'),5,the test tube held a column of white powder,0
4673,4674,Synset('difficulty.n.04'),5,they agreed about the difficulty of the climb,Synset('hardness.n.04'),6,he assigned a series of problems of increasing hardness,1
4674,4675,Synset('start.n.01'),7,it was off to a good start,Synset('onset.n.01'),8,the onset of pneumonia,1
4675,4676,Synset('depth.n.01'),7,the depth of the water,Synset('shallowness.n.02'),8,take into account the shallowness at that end of the pool before you dive,1
4676,4677,Synset('logogram.n.01'),9,7 is a logogram that is pronounced `seven' in English and `nanatsu' in Japanese,Synset('ideogram.n.01'),8,Chinese characters are ideograms,0
4677,4678,Synset('precaution.n.01'),12,he put an ice pack on the injury as a precaution,Synset('backstop.n.03'),13,he acted as a backstop in case anything went wrong,1
4678,4679,Synset('probability.n.01'),4,the probability that an unbiased coin will fall with the head up is 0.5,Synset('exceedance.n.01'),5,the concept of exceedance can be applied to any type of environmental risk modeling,1
4679,4680,Synset('latter.n.01'),8,Tom and Dick were both heroes but only the latter is remembered today,Synset('second.n.05'),7,he came in a close second,0
4680,4681,Synset('big_stick.n.01'),7,speak softly but carry a big stick,Synset('display.n.01'),6,made a display of strength,0
4681,4682,Synset('mailing.n.01'),6,the candidate sent out three large mailings,Synset('mail.n.04'),5,your mail is on the table,0
4682,4683,Synset('spill.n.04'),10,he had a nasty spill on the ice,Synset('slip.n.07'),9,he blamed his slip on the ice,0
4683,4684,Synset('battle.n.01'),8,Grant won a decisive victory in the battle of Chickamauga,Synset('armageddon.n.02'),9,they called the first World War an Armageddon,1
4684,4685,Synset('occasions.n.01'),9,he minded his own specialized occasions,Synset('aim.n.02'),7,the sole object of her trip was to see her children,0
4685,4686,Synset('tradeoff.n.01'),8,I faced a tradeoff between eating and buying my medicine,Synset('exchange.n.03'),7,Adam was promised immortality in exchange for his disobedience,0
4686,4687,Synset('convenience.n.02'),6,they offered the convenience of an installment plan,Synset('command.n.04'),8,the materials at the command of the potters grew,1
4687,4688,Synset('ghost.n.01'),10,he looked like he had seen a ghost,Synset('apparition.n.03'),9,a ghostly apparition at midnight,0
4688,4689,Synset('athleticism.n.01'),9,his music is characterized by a happy athleticism,Synset('energy.n.02'),8,he plays tennis with great energy,0
4689,4690,Synset('relatedness.n.01'),5,the relatedness of all living things,Synset('bearing.n.01'),6,those issues have no bearing on our situation,1
4690,4691,Synset('deliberation.n.02'),9,a little deliberation would have deterred them,Synset('think.n.01'),10,I need to give it a good think,1
4691,4692,Synset('vital_sign.n.01'),8,he was still alive but his vital signs were weak,Synset('sign.n.06'),7,there were no signs of asphyxiation,0
4692,4693,Synset('backup.n.04'),10,he made a backup in case the original was accidentally damaged or erased,Synset('duplicate.n.02'),9,he made a duplicate for the files,0
4693,4694,Synset('reorganization.n.02'),11,after the takeover there was a thorough reorganization,Synset('revision.n.01'),10,it would require a drastic revision of his opinion,0
4694,4695,Synset('bundling.n.03'),9,she complained about bundling the children off to school,Synset('shove.n.01'),8,he gave the door a shove,0
4695,4696,Synset('awareness.n.02'),9,the crash intruded on his awareness,Synset('consciousness.n.01'),8,he lost consciousness,0
4696,4697,Synset('headway.n.02'),9,the ship made little headway against the gale,Synset('progress.n.03'),8,he listened for the progress of the troops,0
4697,4698,Synset('liberty.n.02'),6,liberty of opinion,Synset('latitude.n.02'),7,the new freedom in movies and novels,1
4698,4699,Synset('property.n.04'),8,self-confidence is not an endearing property,Synset('excellence.n.02'),10,a center of manufacturing excellence,1
4699,4700,Synset('ideogram.n.01'),8,Chinese characters are ideograms,Synset('logogram.n.01'),9,7 is a logogram that is pronounced `seven' in English and `nanatsu' in Japanese,1
4700,4701,Synset('narrow_margin.n.01'),8,the president was not humbled by his narrow margin of victory,Synset('amount.n.02'),6,an adequate amount of food for four people,0
4701,4702,Synset('sweet_nothings.n.01'),8,he whispered sweet nothings into her ear,Synset('nothings.n.01'),7,they traded a few nothings as they parted,0
4702,4703,Synset('hands.n.01'),10,my fate is in your hands,Synset('guardianship.n.02'),9,he left his car in my keeping,0
4703,4704,Synset('upper.n.02'),12,Uppers come in many styles,Synset('toe_box.n.01'),13,the toe box may be rounded or pointed,1
4704,4705,Synset('variation.n.05'),7,he patented a variation on the sandal,Synset('bastard.n.03'),8,the architecture was a kind of bastard suggesting Gothic but not true Gothic,1
4705,4706,Synset('security.n.01'),7,we support the armed services in the name of national security,Synset('safety.n.01'),6,insure the safety of the children,0
4706,4707,Synset('throe.n.02'),10,a country in the throes of economic collapse,Synset('adversity.n.01'),8,debt-ridden farmers struggling with adversity,0
4707,4708,Synset('siren_call.n.01'),9,he succumbed to the siren call of the wilderness,Synset('appeal.n.02'),8,his smile was part of his appeal to her,0
4708,4709,Synset('beggary.n.02'),9,they were reduced to mendicancy,Synset('indigence.n.01'),8,their indigence appalled him,0
4709,4710,Synset('volition.n.02'),8,followed my father of my own volition,Synset('intention.n.03'),9,my intention changed once I saw her,1
4710,4711,Synset('setting.n.02'),7,you can't do that in a university setting,Synset('canvas.n.03'),8,the crowded canvas of history,1
4711,4712,Synset('exposure.n.09'),11,the exposure of his anger was shocking,Synset('repudiation.n.03'),12,the debunking of religion has been too successful,1
4712,4713,Synset('negative.n.01'),8,he answered in the negative,Synset('nay.n.01'),9,the nays have it,1
4713,4714,Synset('restraint.n.04'),10,legal restraints,Synset('floodgate.n.01'),11,suspension of surveillance opened the floodgates to illegal immigrants,1
4714,4715,Synset('shadow.n.06'),8,he felt secure in his father's shadow,Synset('recourse.n.02'),7,his only recourse was the police,0
4715,4716,Synset('matter.n.01'),11,several matters to attend to,Synset('interest.n.01'),9,an interest in music,0
4716,4717,Synset('blip.n.01'),9,the market had one bad blip today,Synset('shock.n.06'),8,it came as a shock to learn that he was injured,0
4717,4718,Synset('heart.n.01'),9,in your heart you know it is true,Synset('intuition.n.02'),8,he had an intuition that something had gone wrong,0
4718,4719,Synset('singularity.n.01'),6,that singularity distinguished him from all his companions,Synset('individuality.n.01'),5,so absorbed by the movement that she lost all sense of individuality,0
4719,4720,Synset('submission.n.01'),5,several of his submissions were rejected by publishers,Synset('filing.n.01'),6,he filed a complaint,1
4720,4721,Synset('ball.n.12'),9,he threw nine straight balls before the manager yanked him,Synset('throw.n.01'),7,the catcher made a good throw to second base,0
4721,4722,Synset('spark.n.04'),7,a spark of interest,Synset('trace.n.01'),6,he speaks French with a trace of an accent,0
4722,4723,Synset('abatement.n.02'),11,laws enforcing noise abatement,Synset('moderation.n.04'),10,the object being control or moderation of economic depressions,0
4723,4724,Synset('double.n.02'),10,his first job in Hollywood was as a double for Clark Gable,Synset('stand-in.n.01'),9,the star had a stand-in for dangerous scenes,0
4724,4725,Synset('corruption.n.06'),8,he was held on charges of corruption and racketeering,Synset('inducement.n.02'),7,inducement of sleep,0
4725,4726,Synset('rampart.n.01'),9,they stormed the ramparts of the city,Synset('mound.n.04'),7,they built small mounds to hide behind,0
4726,4727,Synset('common_sense.n.01'),9,Common sense is not so common,Synset('logic.n.02'),10,it made a certain kind of logic,1
4727,4728,Synset('oratory.n.01'),8,he loved the sound of his own oratory,Synset('nominating_speech.n.01'),9,the nomination was brief and to the point,1
4728,4729,Synset('blessing.n.02'),8,enjoy the blessings of peace,Synset('mercy.n.04'),9,it was a mercy we got out alive,1
4729,4730,Synset('non-euclidean_geometry.n.01'),12,non-Euclidean geometries discard or replace one or more of the Euclidean axioms,Synset('hyperbolic_geometry.n.01'),13,Karl Gauss pioneered hyperbolic geometry,1
4730,4731,Synset('attendance.n.03'),8,attendance was up by 50 per cent,Synset('company.n.06'),7,the house was filled with company when I arrived,0
4731,4732,Synset('lurch.n.03'),9,the pitching and tossing was quite exciting,Synset('motion.n.03'),8,the reflex motion of his eyebrows revealed his surprise,0
4732,4733,Synset('side.n.05'),7,he turned the box over to examine the bottom side,Synset('bow.n.03'),9,he pointed the bow of the boat toward the finish line,1
4733,4734,Synset('breadth.n.01'),7,a teacher must have a breadth of knowledge of the subject,Synset('capaciousness.n.01'),8,the very capaciousness of the idea meant that agreement on fundamentals was unnecessary,1
4734,4735,Synset('renovation.n.01'),10,they are pursuing a general program of renovation to the entire property,Synset('face_lift.n.02'),11,give your home a facelift,1
4735,4736,Synset('duplicate.n.02'),9,he made a duplicate for the files,Synset('backup.n.04'),10,he made a backup in case the original was accidentally damaged or erased,1
4736,4737,Synset('scene.n.01'),7,the police returned to the scene of the crime,Synset('stage.n.07'),8,All the world's a stage,1
4737,4738,Synset('non-euclidean_geometry.n.01'),12,non-Euclidean geometries discard or replace one or more of the Euclidean axioms,Synset('hyperbolic_geometry.n.01'),13,Karl Gauss pioneered hyperbolic geometry,1
4738,4739,Synset('real_world.n.01'),8,a good consultant must have a lot of experience in the real world,Synset('world.n.03'),7,his world was shattered,0
4739,4740,Synset('agitation.n.02'),7,the political ferment produced new leadership,Synset('turbulence.n.03'),6,the industrial revolution was a period of great turbulence,0
4740,4741,Synset('appro.n.01'),8,he accepted it on appro,Synset('approval.n.03'),7,he bought it on approval,0
4741,4742,Synset('order.n.03'),5,order ruled in the streets,Synset('consensus.n.01'),8,the lack of consensus reflected differences in theoretical positions,1
4742,4743,Synset('complexion.n.03'),8,he altered the complexion of his times,Synset('point_of_view.n.01'),7,we should consider this problem from the viewpoint of the Russians,0
4743,4744,Synset('sternness.n.01'),7,the sternness of his surroundings made him uncomfortable,Synset('asperity.n.01'),6,the asperity of northern winters,0
4744,4745,Synset('shame.n.02'),8,one mistake brought shame to all his family,Synset('reproach.n.02'),9,he brought reproach upon his family,1
4745,4746,Synset('wish.n.04'),10,it was his last wish,Synset('preference.n.03'),9,"given my druthers, I'd eat cake",0
4746,4747,Synset('y_chromosome.n.01'),9,human males normally have one X chromosome and one Y chromosome,Synset('sex_chromosome.n.01'),8,mammals normally have two sex chromosomes,0
4747,4748,Synset('capital.n.05'),9,the crime capital of Italy,Synset('center.n.11'),8,they received messages from several centers,0
4748,4749,Synset('mechanism.n.03'),6,the mechanism of the ear,Synset('bar.n.08'),8,the boat ran aground on a submerged bar in the river,1
4749,4750,Synset('crisis.n.02'),7,after the crisis the patient either dies or gets better,Synset('emergency.n.01'),8,he never knew what to do in an emergency,1
4750,4751,Synset('picking.n.01'),6,he sent the first picking of berries to the market,Synset('output.n.04'),5,production was up in the second quarter,0
4751,4752,Synset('loss.n.06'),7,the company operated at a loss last year,Synset('sum.n.01'),6,he borrowed a large sum,0
4752,4753,Synset('fastidiousness.n.01'),6,neatness and fastidiousness of dress,Synset('squeamishness.n.02'),7,the program was withdrawn because of the squeamishness of some viewers,1
4753,4754,Synset('death.n.01'),7,her death came as a terrible shock,Synset('megadeath.n.01'),8,they calibrate the effects of atom bombs in megadeaths,1
4754,4755,Synset('rain_date.n.01'),7,the rain date for the picnic will be the following Sunday,Synset('day.n.01'),5,two days later they left,0
4755,4756,Synset('savageness.n.01'),8,the coastline is littered with testaments to the savageness of the waters,Synset('ferocity.n.01'),7,the storm's violence,0
4756,4757,Synset('sleeper_nest.n.01'),9,sleeper nests of Islamic terrorists were capable of launching major attacks in Europe,Synset('gang.n.01'),7,police tried to break up the gang,0
4757,4758,Synset('life.n.07'),6,he appointed himself emperor for life,Synset('days.n.01'),7,the monarch's last days,1
